Date,Source,Stage,Users,Revenue,Marketing Spend
2025-04-02,Social Media,Visit,809,0.0,360.95
2025-04-02,Social Media,View Product,544,0.0,0.0
2025-04-02,Social Media,Add to Cart,466,0.0,0.0
2025-04-02,Social Media,Initiate Checkout,211,0.0,0.0
2025-04-02,Social Media,Purchase,170,11393.32,0.0
2025-04-03,Organic,Visit,597,0.0,0.0
2025-04-03,Organic,View Product,414,0.0,0.0
2025-04-03,Organic,Add to Cart,297,0.0,0.0
2025-04-03,Organic,Initiate Checkout,141,0.0,0.0
2025-04-03,Organic,Purchase,160,6273.69,0.0
2025-04-03,Paid Ads,Visit,1446,0.0,830.38
2025-04-03,Paid Ads,View Product,1275,0.0,0.0
2025-04-03,Paid Ads,Add to Cart,561,0.0,0.0
2025-04-03,Paid Ads,Initiate Checkout,365,0.0,0.0
2025-04-03,Paid Ads,Purchase,285,11767.8,0.0
2025-04-03,Email,Visit,1915,0.0,0.0
2025-04-03,Email,View Product,1464,0.0,0.0
2025-04-03,Email,Add to Cart,680,0.0,0.0
2025-04-03,Email,Initiate Checkout,641,0.0,0.0
2025-04-03,Email,Purchase,370,13445.23,0.0
2025-04-03,Social Media,Visit,1241,0.0,929.2
2025-04-03,Social Media,View Product,985,0.0,0.0
2025-04-03,Social Media,Add to Cart,589,0.0,0.0
2025-04-03,Social Media,Initiate Checkout,259,0.0,0.0
2025-04-03,Social Media,Purchase,250,6647.77,0.0
2025-04-04,Organic,Visit,1606,0.0,0.0
2025-04-04,Organic,View Product,976,0.0,0.0
2025-04-04,Organic,Add to Cart,949,0.0,0.0
2025-04-04,Organic,Initiate Checkout,555,0.0,0.0
2025-04-04,Organic,Purchase,473,34320.11,0.0
2025-04-04,Paid Ads,Visit,1806,0.0,950.27
2025-04-04,Paid Ads,View Product,1227,0.0,0.0
2025-04-04,Paid Ads,Add to Cart,628,0.0,0.0
2025-04-04,Paid Ads,Initiate Checkout,700,0.0,0.0
2025-04-04,Paid Ads,Purchase,426,42037.67,0.0
2025-04-04,Email,Visit,1320,0.0,0.0
2025-04-04,Email,View Product,941,0.0,0.0
2025-04-04,Email,Add to Cart,631,0.0,0.0
2025-04-04,Email,Initiate Checkout,271,0.0,0.0
2025-04-04,Email,Purchase,164,14123.52,0.0
2025-04-04,Social Media,Visit,1064,0.0,240.63
2025-04-04,Social Media,View Product,952,0.0,0.0
2025-04-04,Social Media,Add to Cart,457,0.0,0.0
2025-04-04,Social Media,Initiate Checkout,412,0.0,0.0
2025-04-04,Social Media,Purchase,145,4164.56,0.0
2025-04-05,Organic,Visit,1720,0.0,0.0
2025-04-05,Organic,View Product,1422,0.0,0.0
2025-04-05,Organic,Add to Cart,602,0.0,0.0
2025-04-05,Organic,Initiate Checkout,502,0.0,0.0
2025-04-05,Organic,Purchase,450,42436.68,0.0
2025-04-05,Paid Ads,Visit,1017,0.0,996.84
2025-04-05,Paid Ads,View Product,903,0.0,0.0
2025-04-05,Paid Ads,Add to Cart,518,0.0,0.0
2025-04-05,Paid Ads,Initiate Checkout,359,0.0,0.0
2025-04-05,Paid Ads,Purchase,268,11205.18,0.0
2025-04-05,Email,Visit,1079,0.0,0.0
2025-04-05,Email,View Product,856,0.0,0.0
2025-04-05,Email,Add to Cart,524,0.0,0.0
2025-04-05,Email,Initiate Checkout,361,0.0,0.0
2025-04-05,Email,Purchase,223,4729.1,0.0
2025-04-05,Social Media,Visit,1650,0.0,291.92
2025-04-05,Social Media,View Product,1193,0.0,0.0
2025-04-05,Social Media,Add to Cart,974,0.0,0.0
2025-04-05,Social Media,Initiate Checkout,442,0.0,0.0
2025-04-05,Social Media,Purchase,279,27647.9,0.0
2025-04-06,Organic,Visit,636,0.0,0.0
2025-04-06,Organic,View Product,488,0.0,0.0
2025-04-06,Organic,Add to Cart,221,0.0,0.0
2025-04-06,Organic,Initiate Checkout,127,0.0,0.0
2025-04-06,Organic,Purchase,150,12330.18,0.0
2025-04-06,Paid Ads,Visit,990,0.0,815.66
2025-04-06,Paid Ads,View Product,812,0.0,0.0
2025-04-06,Paid Ads,Add to Cart,465,0.0,0.0
2025-04-06,Paid Ads,Initiate Checkout,363,0.0,0.0
2025-04-06,Paid Ads,Purchase,130,9278.98,0.0
2025-04-06,Email,Visit,1758,0.0,0.0
2025-04-06,Email,View Product,1493,0.0,0.0
2025-04-06,Email,Add to Cart,562,0.0,0.0
2025-04-06,Email,Initiate Checkout,451,0.0,0.0
2025-04-06,Email,Purchase,343,28854.65,0.0
2025-04-06,Social Media,Visit,1418,0.0,529.77
2025-04-06,Social Media,View Product,977,0.0,0.0
2025-04-06,Social Media,Add to Cart,532,0.0,0.0
2025-04-06,Social Media,Initiate Checkout,485,0.0,0.0
2025-04-06,Social Media,Purchase,263,9873.93,0.0
2025-04-07,Organic,Visit,1769,0.0,0.0
2025-04-07,Organic,View Product,1562,0.0,0.0
2025-04-07,Organic,Add to Cart,629,0.0,0.0
2025-04-07,Organic,Initiate Checkout,553,0.0,0.0
2025-04-07,Organic,Purchase,185,12513.16,0.0
2025-04-07,Paid Ads,Visit,1932,0.0,534.54
2025-04-07,Paid Ads,View Product,1717,0.0,0.0
2025-04-07,Paid Ads,Add to Cart,1136,0.0,0.0
2025-04-07,Paid Ads,Initiate Checkout,543,0.0,0.0
2025-04-07,Paid Ads,Purchase,323,11898.59,0.0
2025-04-07,Email,Visit,774,0.0,0.0
2025-04-07,Email,View Product,531,0.0,0.0
2025-04-07,Email,Add to Cart,445,0.0,0.0
2025-04-07,Email,Initiate Checkout,215,0.0,0.0
2025-04-07,Email,Purchase,192,15868.42,0.0
2025-04-07,Social Media,Visit,1776,0.0,244.3
2025-04-07,Social Media,View Product,1341,0.0,0.0
2025-04-07,Social Media,Add to Cart,744,0.0,0.0
2025-04-07,Social Media,Initiate Checkout,503,0.0,0.0
2025-04-07,Social Media,Purchase,297,18911.5,0.0
2025-04-08,Organic,Visit,1564,0.0,0.0
2025-04-08,Organic,View Product,956,0.0,0.0
2025-04-08,Organic,Add to Cart,924,0.0,0.0
2025-04-08,Organic,Initiate Checkout,407,0.0,0.0
2025-04-08,Organic,Purchase,228,18897.68,0.0
2025-04-08,Paid Ads,Visit,689,0.0,651.73
2025-04-08,Paid Ads,View Product,460,0.0,0.0
2025-04-08,Paid Ads,Add to Cart,266,0.0,0.0
2025-04-08,Paid Ads,Initiate Checkout,225,0.0,0.0
2025-04-08,Paid Ads,Purchase,77,7411.29,0.0
2025-04-08,Email,Visit,1058,0.0,0.0
2025-04-08,Email,View Product,747,0.0,0.0
2025-04-08,Email,Add to Cart,367,0.0,0.0
2025-04-08,Email,Initiate Checkout,219,0.0,0.0
2025-04-08,Email,Purchase,149,10362.34,0.0
2025-04-08,Social Media,Visit,1130,0.0,862.68
2025-04-08,Social Media,View Product,930,0.0,0.0
2025-04-08,Social Media,Add to Cart,599,0.0,0.0
2025-04-08,Social Media,Initiate Checkout,273,0.0,0.0
2025-04-08,Social Media,Purchase,258,5881.06,0.0
2025-04-09,Organic,Visit,658,0.0,0.0
2025-04-09,Organic,View Product,561,0.0,0.0
2025-04-09,Organic,Add to Cart,226,0.0,0.0
2025-04-09,Organic,Initiate Checkout,227,0.0,0.0
2025-04-09,Organic,Purchase,173,15510.35,0.0
2025-04-09,Paid Ads,Visit,1452,0.0,755.86
2025-04-09,Paid Ads,View Product,957,0.0,0.0
2025-04-09,Paid Ads,Add to Cart,599,0.0,0.0
2025-04-09,Paid Ads,Initiate Checkout,322,0.0,0.0
2025-04-09,Paid Ads,Purchase,254,10440.94,0.0
2025-04-09,Email,Visit,1784,0.0,0.0
2025-04-09,Email,View Product,1498,0.0,0.0
2025-04-09,Email,Add to Cart,740,0.0,0.0
2025-04-09,Email,Initiate Checkout,410,0.0,0.0
2025-04-09,Email,Purchase,518,37098.27,0.0
2025-04-09,Social Media,Visit,503,0.0,679.62
2025-04-09,Social Media,View Product,327,0.0,0.0
2025-04-09,Social Media,Add to Cart,243,0.0,0.0
2025-04-09,Social Media,Initiate Checkout,198,0.0,0.0
2025-04-09,Social Media,Purchase,135,8047.7,0.0
2025-04-10,Organic,Visit,1143,0.0,0.0
2025-04-10,Organic,View Product,937,0.0,0.0
2025-04-10,Organic,Add to Cart,524,0.0,0.0
2025-04-10,Organic,Initiate Checkout,418,0.0,0.0
2025-04-10,Organic,Purchase,306,22985.57,0.0
2025-04-10,Paid Ads,Visit,1946,0.0,407.75
2025-04-10,Paid Ads,View Product,1353,0.0,0.0
2025-04-10,Paid Ads,Add to Cart,606,0.0,0.0
2025-04-10,Paid Ads,Initiate Checkout,603,0.0,0.0
2025-04-10,Paid Ads,Purchase,422,24723.6,0.0
2025-04-10,Email,Visit,1512,0.0,0.0
2025-04-10,Email,View Product,1181,0.0,0.0
2025-04-10,Email,Add to Cart,658,0.0,0.0
2025-04-10,Email,Initiate Checkout,512,0.0,0.0
2025-04-10,Email,Purchase,318,24260.23,0.0
2025-04-10,Social Media,Visit,1820,0.0,288.45
2025-04-10,Social Media,View Product,1180,0.0,0.0
2025-04-10,Social Media,Add to Cart,895,0.0,0.0
2025-04-10,Social Media,Initiate Checkout,610,0.0,0.0
2025-04-10,Social Media,Purchase,395,18897.06,0.0
2025-04-11,Organic,Visit,1518,0.0,0.0
2025-04-11,Organic,View Product,1153,0.0,0.0
2025-04-11,Organic,Add to Cart,610,0.0,0.0
2025-04-11,Organic,Initiate Checkout,403,0.0,0.0
2025-04-11,Organic,Purchase,397,33889.54,0.0
2025-04-11,Paid Ads,Visit,1620,0.0,826.52
2025-04-11,Paid Ads,View Product,1083,0.0,0.0
2025-04-11,Paid Ads,Add to Cart,534,0.0,0.0
2025-04-11,Paid Ads,Initiate Checkout,537,0.0,0.0
2025-04-11,Paid Ads,Purchase,212,14037.64,0.0
2025-04-11,Email,Visit,1092,0.0,0.0
2025-04-11,Email,View Product,747,0.0,0.0
2025-04-11,Email,Add to Cart,553,0.0,0.0
2025-04-11,Email,Initiate Checkout,390,0.0,0.0
2025-04-11,Email,Purchase,132,8974.63,0.0
2025-04-11,Social Media,Visit,538,0.0,277.16
2025-04-11,Social Media,View Product,444,0.0,0.0
2025-04-11,Social Media,Add to Cart,211,0.0,0.0
2025-04-11,Social Media,Initiate Checkout,138,0.0,0.0
2025-04-11,Social Media,Purchase,110,2290.14,0.0
2025-04-12,Organic,Visit,1660,0.0,0.0
2025-04-12,Organic,View Product,1286,0.0,0.0
2025-04-12,Organic,Add to Cart,939,0.0,0.0
2025-04-12,Organic,Initiate Checkout,354,0.0,0.0
2025-04-12,Organic,Purchase,422,39797.8,0.0
2025-04-12,Paid Ads,Visit,1614,0.0,676.4
2025-04-12,Paid Ads,View Product,1235,0.0,0.0
2025-04-12,Paid Ads,Add to Cart,842,0.0,0.0
2025-04-12,Paid Ads,Initiate Checkout,527,0.0,0.0
2025-04-12,Paid Ads,Purchase,192,8570.07,0.0
2025-04-12,Email,Visit,1524,0.0,0.0
2025-04-12,Email,View Product,1157,0.0,0.0
2025-04-12,Email,Add to Cart,842,0.0,0.0
2025-04-12,Email,Initiate Checkout,383,0.0,0.0
2025-04-12,Email,Purchase,167,8979.62,0.0
2025-04-12,Social Media,Visit,914,0.0,967.05
2025-04-12,Social Media,View Product,763,0.0,0.0
2025-04-12,Social Media,Add to Cart,324,0.0,0.0
2025-04-12,Social Media,Initiate Checkout,362,0.0,0.0
2025-04-12,Social Media,Purchase,226,13199.64,0.0
2025-04-13,Organic,Visit,1591,0.0,0.0
2025-04-13,Organic,View Product,1427,0.0,0.0
2025-04-13,Organic,Add to Cart,616,0.0,0.0
2025-04-13,Organic,Initiate Checkout,449,0.0,0.0
2025-04-13,Organic,Purchase,346,33638.7,0.0
2025-04-13,Paid Ads,Visit,549,0.0,372.33
2025-04-13,Paid Ads,View Product,374,0.0,0.0
2025-04-13,Paid Ads,Add to Cart,214,0.0,0.0
2025-04-13,Paid Ads,Initiate Checkout,141,0.0,0.0
2025-04-13,Paid Ads,Purchase,79,2698.31,0.0
2025-04-13,Email,Visit,1222,0.0,0.0
2025-04-13,Email,View Product,1032,0.0,0.0
2025-04-13,Email,Add to Cart,447,0.0,0.0
2025-04-13,Email,Initiate Checkout,452,0.0,0.0
2025-04-13,Email,Purchase,317,14127.18,0.0
2025-04-13,Social Media,Visit,776,0.0,657.68
2025-04-13,Social Media,View Product,557,0.0,0.0
2025-04-13,Social Media,Add to Cart,428,0.0,0.0
2025-04-13,Social Media,Initiate Checkout,164,0.0,0.0
2025-04-13,Social Media,Purchase,133,7717.56,0.0
2025-04-14,Organic,Visit,1732,0.0,0.0
2025-04-14,Organic,View Product,1483,0.0,0.0
2025-04-14,Organic,Add to Cart,703,0.0,0.0
2025-04-14,Organic,Initiate Checkout,558,0.0,0.0
2025-04-14,Organic,Purchase,327,17578.79,0.0
2025-04-14,Paid Ads,Visit,1354,0.0,335.67
2025-04-14,Paid Ads,View Product,1106,0.0,0.0
2025-04-14,Paid Ads,Add to Cart,797,0.0,0.0
2025-04-14,Paid Ads,Initiate Checkout,306,0.0,0.0
2025-04-14,Paid Ads,Purchase,167,10958.15,0.0
2025-04-14,Email,Visit,1631,0.0,0.0
2025-04-14,Email,View Product,1135,0.0,0.0
2025-04-14,Email,Add to Cart,948,0.0,0.0
2025-04-14,Email,Initiate Checkout,457,0.0,0.0
2025-04-14,Email,Purchase,387,36797.29,0.0
2025-04-14,Social Media,Visit,1668,0.0,297.37
2025-04-14,Social Media,View Product,1145,0.0,0.0
2025-04-14,Social Media,Add to Cart,894,0.0,0.0
2025-04-14,Social Media,Initiate Checkout,465,0.0,0.0
2025-04-14,Social Media,Purchase,455,19022.03,0.0
